Pertanyaan,Jawaban
"Bagaimana status rekanan MATRA BANGUN TECHNOCONSULT?","MATRA BANGUN TECHNOCONSULT memiliki status rekanan Rekanan Terdaftar."
"Apa bidang usaha MATRA BANGUN TECHNOCONSULT?","MATRA BANGUN TECHNOCONSULT bergerak di bidang Supplier Menengah (BETON READY MIX, SUPPLIER)."
"Dimana lokasi atau provinsi MATRA BANGUN TECHNOCONSULT?","MATRA BANGUN TECHNOCONSULT berlokasi di DKI Jakarta."
"Apa kualifikasi perusahaan untuk MATRA BANGUN TECHNOCONSULT?","Kualifikasi perusahaan MATRA BANGUN TECHNOCONSULT adalah PT."
"Siapa SAVIN SUKSES SEJAHTERA?","SAVIN SUKSES SEJAHTERA adalah vendor dengan status Registered, kualifikasi PT, di bidang Perusahaan Mikro dan Kecil (Supplier dan Non-Konstruksi), berlokasi di Jawa Barat. Kode SBU: BS004."
"Bagaimana status rekanan SAVIN SUKSES SEJAHTERA?","SAVIN SUKSES SEJAHTERA memiliki status rekanan Registered."
"Apa bidang usaha SAVIN SUKSES SEJAHTERA?","SAVIN SUKSES SEJAHTERA bergerak di bidang Perusahaan Mikro dan Kecil (Supplier dan Non-Konstruksi) (Tidak diketahui)."
"Dimana lokasi atau provinsi SAVIN SUKSES SEJAHTERA?","SAVIN SUKSES SEJAHTERA berlokasi di Jawa Barat."
"Apa kualifikasi perusahaan untuk SAVIN SUKSES SEJAHTERA?","Kualifikasi perusahaan SAVIN SUKSES SEJAHTERA adalah PT."
"Siapa GEOFORCE INDONESIA?","GEOFORCE INDONESIA adalah vendor dengan status Unverified, kualifikasi PT, di bidang Supplier Besar, berlokasi di DKI Jakarta. Kode SBU: PL003."
"Bagaimana status rekanan GEOFORCE INDONESIA?","GEOFORCE INDONESIA memiliki status rekanan Unverified."
"Apa bidang usaha GEOFORCE INDONESIA?","GEOFORCE INDONESIA bergerak di bidang Supplier Besar (Tidak diketahui)."
"Dimana lokasi atau provinsi GEOFORCE INDONESIA?","GEOFORCE INDONESIA berlokasi di DKI Jakarta."
"Apa kualifikasi perusahaan untuk GEOFORCE INDONESIA?","Kualifikasi perusahaan GEOFORCE INDONESIA adalah PT."
"Siapa KADI INTERNATIONAL?","KADI INTERNATIONAL adalah vendor dengan status Unverified, kualifikasi CV, di bidang Sub Kontraktor Kecil dan Menengah, berlokasi di DKI Jakarta. Kode SBU: BS001."
"Bagaimana status rekanan KADI INTERNATIONAL?","KADI INTERNATIONAL memiliki status rekanan Unverified."
"Apa bidang usaha KADI INTERNATIONAL?","KADI INTERNATIONAL bergerak di bidang Sub Kontraktor Kecil dan Menengah (KONSTRUKSI BAJA BUILDING, SUBKON)."
"Dimana lokasi atau provinsi KADI INTERNATIONAL?","KADI INTERNATIONAL berlokasi di DKI Jakarta."
"Apa kualifikasi perusahaan untuk KADI INTERNATIONAL?","Kualifikasi perusahaan KADI INTERNATIONAL adalah CV."
"Siapa GAPURA ALAM PERSADA?","GAPURA ALAM PERSADA adalah vendor dengan status Registered, kualifikasi PT, di bidang Supplier Menengah,, berlokasi di DKI Jakarta. Kode SBU: BS004."
"Bagaimana status rekanan GAPURA ALAM PERSADA?","GAPURA ALAM PERSADA memiliki status rekanan Registered."
"Apa bidang usaha GAPURA ALAM PERSADA?","GAPURA ALAM PERSADA bergerak di bidang Supplier Menengah, (AIR CONDITIONING / AC & FAN, SUPPLIER ;)."
"Dimana lokasi atau provinsi GAPURA ALAM PERSADA?","GAPURA ALAM PERSADA berlokasi di DKI Jakarta."
"Apa kualifikasi perusahaan untuk GAPURA ALAM PERSADA?","Kualifikasi perusahaan GAPURA ALAM PERSADA adalah PT."
"Siapa WASKITA BETON PRECAST TBK?","WASKITA BETON PRECAST TBK adalah vendor dengan status Unverified, kualifikasi PT, di bidang Sub Kontraktor Kecil dan Menengah, berlokasi di DKI Jakarta. Kode SBU: KP001."
"Bagaimana status rekanan WASKITA BETON PRECAST TBK?","WASKITA BETON PRECAST TBK memiliki status rekanan Unverified."
"Apa bidang usaha WASKITA BETON PRECAST TBK?","WASKITA BETON PRECAST TBK bergerak di bidang Sub Kontraktor Kecil dan Menengah (Tidak diketahui)."
"Dimana lokasi atau provinsi WASKITA BETON PRECAST TBK?","WASKITA BETON PRECAST TBK berlokasi di DKI Jakarta."
"Apa kualifikasi perusahaan untuk WASKITA BETON PRECAST TBK?","Kualifikasi perusahaan WASKITA BETON PRECAST TBK adalah PT."
"Siapa NIKKEN KARYA PERANCAH?","NIKKEN KARYA PERANCAH adalah vendor dengan status Rekanan Terdaftar, kualifikasi PT, di bidang Supplier Menengah,, berlokasi di DKI Jakarta. Kode SBU: BS002."
"Bagaimana status rekanan NIKKEN KARYA PERANCAH?","NIKKEN KARYA PERANCAH memiliki status rekanan Rekanan Terdaftar."
"Apa bidang usaha NIKKEN KARYA PERANCAH?","NIKKEN KARYA PERANCAH bergerak di bidang Supplier Menengah, (AGREGAT & BATU PECAH / BELAH, SUPPLIER ;)."
"Dimana lokasi atau provinsi NIKKEN KARYA PERANCAH?","NIKKEN KARYA PERANCAH berlokasi di DKI Jakarta."
"Apa kualifikasi perusahaan untuk NIKKEN KARYA PERANCAH?","Kualifikasi perusahaan NIKKEN KARYA PERANCAH adalah PT."
"Siapa BUMI INTI GEMILANG?","BUMI INTI GEMILANG adalah vendor dengan status Unverified, kualifikasi PT, di bidang Jasa Khusus Menengah dan Besar - Non Konstruksi, berlokasi di DKI Jakarta. Kode SBU: BS001."
"Bagaimana status rekanan BUMI INTI GEMILANG?","BUMI INTI GEMILANG memiliki status rekanan Unverified."
"Apa bidang usaha BUMI INTI GEMILANG?","BUMI INTI GEMILANG bergerak di bidang Jasa Khusus Menengah dan Besar - Non Konstruksi (SEWA GUDANG ;)."
"Dimana lokasi atau provinsi BUMI INTI GEMILANG?","BUMI INTI GEMILANG berlokasi di DKI Jakarta."
"Apa kualifikasi perusahaan untuk BUMI INTI GEMILANG?","Kualifikasi perusahaan BUMI INTI GEMILANG adalah PT."
"Siapa INDONESIA PONDASI RAYA TBK?","INDONESIA PONDASI RAYA TBK adalah vendor dengan status Registered, kualifikasi PT, di bidang Konsultan Konstruksi, berlokasi di DKI Jakarta. Kode SBU: KK001."
"Bagaimana status rekanan INDONESIA PONDASI RAYA TBK?","INDONESIA PONDASI RAYA TBK memiliki status rekanan Registered."
"Apa bidang usaha INDONESIA PONDASI RAYA TBK?","INDONESIA PONDASI RAYA TBK bergerak di bidang Konsultan Konstruksi (Tidak diketahui)."
"Dimana lokasi atau provinsi INDONESIA PONDASI RAYA TBK?","INDONESIA PONDASI RAYA TBK berlokasi di DKI Jakarta."
"Apa kualifikasi perusahaan untuk INDONESIA PONDASI RAYA TBK?","Kualifikasi perusahaan INDONESIA PONDASI RAYA TBK adalah PT."
"Siapa Prisma Sarana Jaya Utama?","Prisma Sarana Jaya Utama adalah vendor dengan status Unverified, kualifikasi Persekutuan Perdata Lainnya, di bidang Jasa Khusus Menengah dan Besar - Non Konstruksi, berlokasi di DKI Jakarta. Kode SBU: KK001."
"Bagaimana status rekanan Prisma Sarana Jaya Utama?","Prisma Sarana Jaya Utama memiliki status rekanan Unverified."
"Apa bidang usaha Prisma Sarana Jaya Utama?","Prisma Sarana Jaya Utama bergerak di bidang Jasa Khusus Menengah dan Besar - Non Konstruksi (Tidak diketahui)."
"Dimana lokasi atau provinsi Prisma Sarana Jaya Utama?","Prisma Sarana Jaya Utama berlokasi di DKI Jakarta."
"Apa kualifikasi perusahaan untuk Prisma Sarana Jaya Utama?","Kualifikasi perusahaan Prisma Sarana Jaya Utama adalah Persekutuan Perdata Lainnya."
"Siapa WPMAZ KARYA?","WPMAZ KARYA adalah vendor dengan status Unverified, kualifikasi PT, di bidang Sub Kontraktor Kecil dan Menengah, berlokasi di Banten. Kode SBU: BS001."
"Bagaimana status rekanan WPMAZ KARYA?","WPMAZ KARYA memiliki status rekanan Unverified."
"Apa bidang usaha WPMAZ KARYA?","WPMAZ KARYA bergerak di bidang Sub Kontraktor Kecil dan Menengah (BEKISTING / FORMWORK INFRASTRUCTURE, SUBKON)."
"Dimana lokasi atau provinsi WPMAZ KARYA?","WPMAZ KARYA berlokasi di Banten."
"Apa kualifikasi perusahaan untuk WPMAZ KARYA?","Kualifikasi perusahaan WPMAZ KARYA adalah PT."
"Siapa SADA DAYA INTERNASIONAL?","SADA DAYA INTERNASIONAL adalah vendor dengan status Rekanan Terseleksi Waskita, kualifikasi PT, di bidang Jasa Khusus Menengah dan Besar - Non Konstruksi, berlokasi di DI Yogyakarta. Kode SBU: BG002."
"Bagaimana status rekanan SADA DAYA INTERNASIONAL?","SADA DAYA INTERNASIONAL memiliki status rekanan Rekanan Terseleksi Waskita."
"Apa bidang usaha SADA DAYA INTERNASIONAL?","SADA DAYA INTERNASIONAL bergerak di bidang Jasa Khusus Menengah dan Besar - Non Konstruksi (Tidak diketahui)."
"Dimana lokasi atau provinsi SADA DAYA INTERNASIONAL?","SADA DAYA INTERNASIONAL berlokasi di DI Yogyakarta."
"Apa kualifikasi perusahaan untuk SADA DAYA INTERNASIONAL?","Kualifikasi perusahaan SADA DAYA INTERNASIONAL adalah PT."
"Siapa MASTER FONDASI INDONESIA?","MASTER FONDASI INDONESIA adalah vendor dengan status Rekanan Terdaftar, kualifikasi PT, di bidang Sub Kontraktor Besar,, berlokasi di Jawa Barat. Kode SBU: BS017."
"Bagaimana status rekanan MASTER FONDASI INDONESIA?","MASTER FONDASI INDONESIA memiliki status rekanan Rekanan Terdaftar."
"Apa bidang usaha MASTER FONDASI INDONESIA?","MASTER FONDASI INDONESIA bergerak di bidang Sub Kontraktor Besar, (JASA KONSULTANSI JASA REKAYASA KONSTRUKSI, SUBKON)."
"Dimana lokasi atau provinsi MASTER FONDASI INDONESIA?","MASTER FONDASI INDONESIA berlokasi di Jawa Barat."
"Apa kualifikasi perusahaan untuk MASTER FONDASI INDONESIA?","Kualifikasi perusahaan MASTER FONDASI INDONESIA adalah PT."
"Siapa KARYA PRIMA PONDASI?","KARYA PRIMA PONDASI adalah vendor dengan status Rekanan Terseleksi Waskita, kualifikasi CV, di bidang Sub Kontraktor Kecil dan Menengah, berlokasi di DKI Jakarta. Kode SBU: KK001."
"Bagaimana status rekanan KARYA PRIMA PONDASI?","KARYA PRIMA PONDASI memiliki status rekanan Rekanan Terseleksi Waskita."
"Apa bidang usaha KARYA PRIMA PONDASI?","KARYA PRIMA PONDASI bergerak di bidang Sub Kontraktor Kecil dan Menengah (PAGAR SEMENTARA, SUBKON)."
"Dimana lokasi atau provinsi KARYA PRIMA PONDASI?","KARYA PRIMA PONDASI berlokasi di DKI Jakarta."
"Apa kualifikasi perusahaan untuk KARYA PRIMA PONDASI?","Kualifikasi perusahaan KARYA PRIMA PONDASI adalah CV."
"Siapa Hayana Solindo Utama?","Hayana Solindo Utama adalah vendor dengan status Unverified, kualifikasi PT, di bidang Sub Kontraktor, berlokasi di DKI Jakarta. Kode SBU: BG002."
"Bagaimana status rekanan Hayana Solindo Utama?","Hayana Solindo Utama memiliki status rekanan Unverified."
"Apa bidang usaha Hayana Solindo Utama?","Hayana Solindo Utama bergerak di bidang Sub Kontraktor (Tidak diketahui)."
"Dimana lokasi atau provinsi Hayana Solindo Utama?","Hayana Solindo Utama berlokasi di DKI Jakarta."
"Apa kualifikasi perusahaan untuk Hayana Solindo Utama?","Kualifikasi perusahaan Hayana Solindo Utama adalah PT."
"Siapa BHUMI BHAKTI SUKSES PERSADA?","BHUMI BHAKTI SUKSES PERSADA adalah vendor dengan status Rekanan Terdaftar, kualifikasi PT, di bidang Sub Kontraktor Besar, berlokasi di Kalimantan Utara. Kode SBU: PL004."
"Bagaimana status rekanan BHUMI BHAKTI SUKSES PERSADA?","BHUMI BHAKTI SUKSES PERSADA memiliki status rekanan Rekanan Terdaftar."
"Apa bidang usaha BHUMI BHAKTI SUKSES PERSADA?","BHUMI BHAKTI SUKSES PERSADA bergerak di bidang Sub Kontraktor Besar (GALIAN & TIMBUNAN, SUBKON)."
"Dimana lokasi atau provinsi BHUMI BHAKTI SUKSES PERSADA?","BHUMI BHAKTI SUKSES PERSADA berlokasi di Kalimantan Utara."
"Apa kualifikasi perusahaan untuk BHUMI BHAKTI SUKSES PERSADA?","Kualifikasi perusahaan BHUMI BHAKTI SUKSES PERSADA adalah PT."
"Siapa Bangun Karyatama Mandiri?","Bangun Karyatama Mandiri adalah vendor dengan status Registered, kualifikasi CV, di bidang Supplier, berlokasi di Riau. Kode SBU: BS001."
"Bagaimana status rekanan Bangun Karyatama Mandiri?","Bangun Karyatama Mandiri memiliki status rekanan Registered."
"Apa bidang usaha Bangun Karyatama Mandiri?","Bangun Karyatama Mandiri bergerak di bidang Supplier (Tidak diketahui)."
"Dimana lokasi atau provinsi Bangun Karyatama Mandiri?","Bangun Karyatama Mandiri berlokasi di Riau."
"Apa kualifikasi perusahaan untuk Bangun Karyatama Mandiri?","Kualifikasi perusahaan Bangun Karyatama Mandiri adalah CV."
"Siapa ARTHAMAS GRAHAANDALAN?","ARTHAMAS GRAHAANDALAN adalah vendor dengan status Unverified, kualifikasi CV, di bidang Supplier, berlokasi di Jawa Tengah. Kode SBU: KK016."
"Bagaimana status rekanan ARTHAMAS GRAHAANDALAN?","ARTHAMAS GRAHAANDALAN memiliki status rekanan Unverified."
"Apa bidang usaha ARTHAMAS GRAHAANDALAN?","ARTHAMAS GRAHAANDALAN bergerak di bidang Supplier (Tidak diketahui)."
"Dimana lokasi atau provinsi ARTHAMAS GRAHAANDALAN?","ARTHAMAS GRAHAANDALAN berlokasi di Jawa Tengah."
"Apa kualifikasi perusahaan untuk ARTHAMAS GRAHAANDALAN?","Kualifikasi perusahaan ARTHAMAS GRAHAANDALAN adalah CV."
"Siapa PURWA JAYA?","PURWA JAYA adalah vendor dengan status Rekanan Terdaftar, kualifikasi PT, di bidang Supplier Besar, berlokasi di DKI Jakarta. Kode SBU: BG001."
"Bagaimana status rekanan PURWA JAYA?","PURWA JAYA memiliki status rekanan Rekanan Terdaftar."
"Apa bidang usaha PURWA JAYA?","PURWA JAYA bergerak di bidang Supplier Besar (BBM / BAHAN BAKAR MINYAK, SUPPLIER)."
"Dimana lokasi atau provinsi PURWA JAYA?","PURWA JAYA berlokasi di DKI Jakarta."
"Apa kualifikasi perusahaan untuk PURWA JAYA?","Kualifikasi perusahaan PURWA JAYA adalah PT."
"Siapa CHELIN BERKAH MURNI?","CHELIN BERKAH MURNI adalah vendor dengan status Rekanan Terdaftar, kualifikasi CV, di bidang Sewa Alat, berlokasi di Jawa Timur. Kode SBU: BG002."
"Bagaimana status rekanan CHELIN BERKAH MURNI?","CHELIN BERKAH MURNI memiliki status rekanan Rekanan Terdaftar."
"Apa bidang usaha CHELIN BERKAH MURNI?","CHELIN BERKAH MURNI bergerak di bidang Sewa Alat (SCAFFOLDING / PERANCAH & ACCESSORIES, SEWA)."
"Dimana lokasi atau provinsi CHELIN BERKAH MURNI?","CHELIN BERKAH MURNI berlokasi di Jawa Timur."
"Apa kualifikasi perusahaan untuk CHELIN BERKAH MURNI?","Kualifikasi perusahaan CHELIN BERKAH MURNI adalah CV."
"Siapa DUA PUTRA JAYA?","DUA PUTRA JAYA adalah vendor dengan status Calon Rekanan Waskita Approved Level 1, kualifikasi PT, di bidang Supplier Menengah, berlokasi di Kalimantan Timur. Kode SBU: BG006."
"Bagaimana status rekanan DUA PUTRA JAYA?","DUA PUTRA JAYA memiliki status rekanan Calon Rekanan Waskita Approved Level 1."
"Apa bidang usaha DUA PUTRA JAYA?","DUA PUTRA JAYA bergerak di bidang Supplier Menengah (SEMEN, SUPPLIER)."
"Dimana lokasi atau provinsi DUA PUTRA JAYA?","DUA PUTRA JAYA berlokasi di Kalimantan Timur."
"Apa kualifikasi perusahaan untuk DUA PUTRA JAYA?","Kualifikasi perusahaan DUA PUTRA JAYA adalah PT."
"Siapa PADU KARYA JAYA NUSA?","PADU KARYA JAYA NUSA adalah vendor dengan status Registered, kualifikasi PT, di bidang Supplier Besar,, berlokasi di Bali. Kode SBU: PL004."
"Bagaimana status rekanan PADU KARYA JAYA NUSA?","PADU KARYA JAYA NUSA memiliki status rekanan Registered."
"Apa bidang usaha PADU KARYA JAYA NUSA?","PADU KARYA JAYA NUSA bergerak di bidang Supplier Besar, (Tidak diketahui)."
"Dimana lokasi atau provinsi PADU KARYA JAYA NUSA?","PADU KARYA JAYA NUSA berlokasi di Bali."
"Apa kualifikasi perusahaan untuk PADU KARYA JAYA NUSA?","Kualifikasi perusahaan PADU KARYA JAYA NUSA adalah PT."
"Siapa Bayu Maju Jaya?","Bayu Maju Jaya adalah vendor dengan status Rekanan Terseleksi Waskita, kualifikasi PT, di bidang Sewa Alat, berlokasi di Sulawesi Selatan. Kode SBU: BG009."
"Bagaimana status rekanan Bayu Maju Jaya?","Bayu Maju Jaya memiliki status rekanan Rekanan Terseleksi Waskita."
"Apa bidang usaha Bayu Maju Jaya?","Bayu Maju Jaya bergerak di bidang Sewa Alat (EXCAVATOR & EXCAVATOR LONG ARM, SEWA)."
"Dimana lokasi atau provinsi Bayu Maju Jaya?","Bayu Maju Jaya berlokasi di Sulawesi Selatan."
"Apa kualifikasi perusahaan untuk Bayu Maju Jaya?","Kualifikasi perusahaan Bayu Maju Jaya adalah PT."
"Siapa CV.CERIA?","CV.CERIA adalah vendor dengan status Unverified, kualifikasi PT, di bidang Jasa Khusus Menengah dan Besar - Non Konstruksi, berlokasi di DKI Jakarta. Kode SBU: BG005."
"Bagaimana status rekanan CV.CERIA?","CV.CERIA memiliki status rekanan Unverified."
"Apa bidang usaha CV.CERIA?","CV.CERIA bergerak di bidang Jasa Khusus Menengah dan Besar - Non Konstruksi (Tidak diketahui)."
"Dimana lokasi atau provinsi CV.CERIA?","CV.CERIA berlokasi di DKI Jakarta."
"Apa kualifikasi perusahaan untuk CV.CERIA?","Kualifikasi perusahaan CV.CERIA adalah PT."
"Siapa DUNGO REKSA?","DUNGO REKSA adalah vendor dengan status Unverified, kualifikasi CV, di bidang Supplier, berlokasi di Jawa Tengah. Kode SBU: BG009."
"Bagaimana status rekanan DUNGO REKSA?","DUNGO REKSA memiliki status rekanan Unverified."
"Apa bidang usaha DUNGO REKSA?","DUNGO REKSA bergerak di bidang Supplier (Tidak diketahui)."
"Dimana lokasi atau provinsi DUNGO REKSA?","DUNGO REKSA berlokasi di Jawa Tengah."
"Apa kualifikasi perusahaan untuk DUNGO REKSA?","Kualifikasi perusahaan DUNGO REKSA adalah CV."
"Siapa GLOBAL TEKNIK SEMESTA?","GLOBAL TEKNIK SEMESTA adalah vendor dengan status Registered, kualifikasi PT, di bidang Supplier Menengah, berlokasi di DKI Jakarta. Kode SBU: BG002."
"Bagaimana status rekanan GLOBAL TEKNIK SEMESTA?","GLOBAL TEKNIK SEMESTA memiliki status rekanan Registered."
"Apa bidang usaha GLOBAL TEKNIK SEMESTA?","GLOBAL TEKNIK SEMESTA bergerak di bidang Supplier Menengah (Tidak diketahui)."
"Dimana lokasi atau provinsi GLOBAL TEKNIK SEMESTA?","GLOBAL TEKNIK SEMESTA berlokasi di DKI Jakarta."
"Apa kualifikasi perusahaan untuk GLOBAL TEKNIK SEMESTA?","Kualifikasi perusahaan GLOBAL TEKNIK SEMESTA adalah PT."
"Siapa CV ALASTAIR?","CV ALASTAIR adalah vendor dengan status Unverified, kualifikasi PT, di bidang Perusahaan Mikro dan Kecil (Supplier dan Non-Konstruksi), berlokasi di DKI Jakarta. Kode SBU: BG009."
"Bagaimana status rekanan CV ALASTAIR?","CV ALASTAIR memiliki status rekanan Unverified."
"Apa bidang usaha CV ALASTAIR?","CV ALASTAIR bergerak di bidang Perusahaan Mikro dan Kecil (Supplier dan Non-Konstruksi) (EKSPEDISI / ANGKUTAN DARAT, SUBKON)."
"Dimana lokasi atau provinsi CV ALASTAIR?","CV ALASTAIR berlokasi di DKI Jakarta."
"Apa kualifikasi perusahaan untuk CV ALASTAIR?","Kualifikasi perusahaan CV ALASTAIR adalah PT."
"Siapa MEKAR JAYA PERSADA?","MEKAR JAYA PERSADA adalah vendor dengan status Rekanan Terdaftar, kualifikasi PT, di bidang Sub Kontraktor Kecil dan Menengah, berlokasi di DKI Jakarta. Kode SBU: BG009."
"Bagaimana status rekanan MEKAR JAYA PERSADA?","MEKAR JAYA PERSADA memiliki status rekanan Rekanan Terdaftar."
"Apa bidang usaha MEKAR JAYA PERSADA?","MEKAR JAYA PERSADA bergerak di bidang Sub Kontraktor Kecil dan Menengah (GALIAN & TIMBUNAN, SUBKON)."
"Dimana lokasi atau provinsi MEKAR JAYA PERSADA?","MEKAR JAYA PERSADA berlokasi di DKI Jakarta."
"Apa kualifikasi perusahaan untuk MEKAR JAYA PERSADA?","Kualifikasi perusahaan MEKAR JAYA PERSADA adalah PT."
"Siapa ASRI KARYA LESTARI TBK?","ASRI KARYA LESTARI TBK adalah vendor dengan status Registered, kualifikasi PT, di bidang Sub Kontraktor Kecil dan Menengah, berlokasi di Kalimantan Timur. Kode SBU: BG005."
"Bagaimana status rekanan ASRI KARYA LESTARI TBK?","ASRI KARYA LESTARI TBK memiliki status rekanan Registered."
"Apa bidang usaha ASRI KARYA LESTARI TBK?","ASRI KARYA LESTARI TBK bergerak di bidang Sub Kontraktor Kecil dan Menengah (Tidak diketahui)."
"Dimana lokasi atau provinsi ASRI KARYA LESTARI TBK?","ASRI KARYA LESTARI TBK berlokasi di Kalimantan Timur."
"Apa kualifikasi perusahaan untuk ASRI KARYA LESTARI TBK?","Kualifikasi perusahaan ASRI KARYA LESTARI TBK adalah PT."
"Siapa ANUGERAH WIJAYATRISNA?","ANUGERAH WIJAYATRISNA adalah vendor dengan status Rekanan Terdaftar, kualifikasi PT, di bidang Sewa Alat, berlokasi di DKI Jakarta. Kode SBU: KK001."
"Bagaimana status rekanan ANUGERAH WIJAYATRISNA?","ANUGERAH WIJAYATRISNA memiliki status rekanan Rekanan Terdaftar."
"Apa bidang usaha ANUGERAH WIJAYATRISNA?","ANUGERAH WIJAYATRISNA bergerak di bidang Sewa Alat (DUMP TRUCK, SEWA)."
"Dimana lokasi atau provinsi ANUGERAH WIJAYATRISNA?","ANUGERAH WIJAYATRISNA berlokasi di DKI Jakarta."
"Apa kualifikasi perusahaan untuk ANUGERAH WIJAYATRISNA?","Kualifikasi perusahaan ANUGERAH WIJAYATRISNA adalah PT."
"Siapa CENDANA JAYA MANDIRI?","CENDANA JAYA MANDIRI adalah vendor dengan status Registered, kualifikasi CV, di bidang Perusahaan Mikro dan Kecil (Supplier dan Non-Konstruksi), berlokasi di Jawa Timur. Kode SBU: BG005."
"Bagaimana status rekanan CENDANA JAYA MANDIRI?","CENDANA JAYA MANDIRI memiliki status rekanan Registered."
"Apa bidang usaha CENDANA JAYA MANDIRI?","CENDANA JAYA MANDIRI bergerak di bidang Perusahaan Mikro dan Kecil (Supplier dan Non-Konstruksi) (ELECTRICAL & CABLE POWER , SUPPLIER ;)."
"Dimana lokasi atau provinsi CENDANA JAYA MANDIRI?","CENDANA JAYA MANDIRI berlokasi di Jawa Timur."
"Apa kualifikasi perusahaan untuk CENDANA JAYA MANDIRI?","Kualifikasi perusahaan CENDANA JAYA MANDIRI adalah CV."
"Siapa Anugerah Solusi Tekindo?","Anugerah Solusi Tekindo adalah vendor dengan status Rekanan Terdaftar, kualifikasi PT, di bidang Sewa Alat,, berlokasi di DKI Jakarta. Kode SBU: IN006."
"Bagaimana status rekanan Anugerah Solusi Tekindo?","Anugerah Solusi Tekindo memiliki status rekanan Rekanan Terdaftar."
"Apa bidang usaha Anugerah Solusi Tekindo?","Anugerah Solusi Tekindo bergerak di bidang Sewa Alat, (EKSPEDISI / ANGKUTAN DARAT, SUBKON)."
"Dimana lokasi atau provinsi Anugerah Solusi Tekindo?","Anugerah Solusi Tekindo berlokasi di DKI Jakarta."
"Apa kualifikasi perusahaan untuk Anugerah Solusi Tekindo?","Kualifikasi perusahaan Anugerah Solusi Tekindo adalah PT."
"Siapa Menara Bangun Sinergi?","Menara Bangun Sinergi adalah vendor dengan status Waiting List Dokumen, kualifikasi PT, di bidang Supplier Menengah,, berlokasi di Jawa Timur. Kode SBU: BG003."
"Bagaimana status rekanan Menara Bangun Sinergi?","Menara Bangun Sinergi memiliki status rekanan Waiting List Dokumen."
"Apa bidang usaha Menara Bangun Sinergi?","Menara Bangun Sinergi bergerak di bidang Supplier Menengah, (ELEKTRIKAL, SUBKON ;)."
"Dimana lokasi atau provinsi Menara Bangun Sinergi?","Menara Bangun Sinergi berlokasi di Jawa Timur."
"Apa kualifikasi perusahaan untuk Menara Bangun Sinergi?","Kualifikasi perusahaan Menara Bangun Sinergi adalah PT."
"Siapa GEO FONDASI MULTI KONSULTAN?","GEO FONDASI MULTI KONSULTAN adalah vendor dengan status Calon Rekanan Waskita Approved Level 1, kualifikasi PT, di bidang Supplier Besar, berlokasi di DKI Jakarta. Kode SBU: AR003."
"Bagaimana status rekanan GEO FONDASI MULTI KONSULTAN?","GEO FONDASI MULTI KONSULTAN memiliki status rekanan Calon Rekanan Waskita Approved Level 1."
"Apa bidang usaha GEO FONDASI MULTI KONSULTAN?","GEO FONDASI MULTI KONSULTAN bergerak di bidang Supplier Besar (CIVIL CHEMICAL, SUPPLIER)."
"Dimana lokasi atau provinsi GEO FONDASI MULTI KONSULTAN?","GEO FONDASI MULTI KONSULTAN berlokasi di DKI Jakarta."
"Apa kualifikasi perusahaan untuk GEO FONDASI MULTI KONSULTAN?","Kualifikasi perusahaan GEO FONDASI MULTI KONSULTAN adalah PT."
"Siapa INDORAYA NUSANTARA DJAYA?","INDORAYA NUSANTARA DJAYA adalah vendor dengan status Unverified, kualifikasi PT, di bidang Jasa Khusus Menengah dan Besar - Non Konstruksi, berlokasi di DKI Jakarta. Kode SBU: IN001."
"Bagaimana status rekanan INDORAYA NUSANTARA DJAYA?","INDORAYA NUSANTARA DJAYA memiliki status rekanan Unverified."
"Apa bidang usaha INDORAYA NUSANTARA DJAYA?","INDORAYA NUSANTARA DJAYA bergerak di bidang Jasa Khusus Menengah dan Besar - Non Konstruksi (KONSULTAN MANAJEMEN & BISNIS)."
"Dimana lokasi atau provinsi INDORAYA NUSANTARA DJAYA?","INDORAYA NUSANTARA DJAYA berlokasi di DKI Jakarta."
"Apa kualifikasi perusahaan untuk INDORAYA NUSANTARA DJAYA?","Kualifikasi perusahaan INDORAYA NUSANTARA DJAYA adalah PT."
"Siapa SINAR PRANA SEMESTA?","SINAR PRANA SEMESTA adalah vendor dengan status Rekanan Terseleksi Waskita, kualifikasi PT, di bidang Sub Kontraktor Kecil dan Menengah, berlokasi di DKI Jakarta. Kode SBU: RK002."
"Bagaimana status rekanan SINAR PRANA SEMESTA?","SINAR PRANA SEMESTA memiliki status rekanan Rekanan Terseleksi Waskita."
"Apa bidang usaha SINAR PRANA SEMESTA?","SINAR PRANA SEMESTA bergerak di bidang Sub Kontraktor Kecil dan Menengah (SALURAN & DRAINASE, SUBKON ;)."
"Dimana lokasi atau provinsi SINAR PRANA SEMESTA?","SINAR PRANA SEMESTA berlokasi di DKI Jakarta."
"Apa kualifikasi perusahaan untuk SINAR PRANA SEMESTA?","Kualifikasi perusahaan SINAR PRANA SEMESTA adalah PT."
"Siapa JAYA ABADI TEKNIK?","JAYA ABADI TEKNIK adalah vendor dengan status Rekanan Terdaftar, kualifikasi PT, di bidang Sub Kontraktor Besar, berlokasi di Jawa Barat. Kode SBU: BS001."
"Bagaimana status rekanan JAYA ABADI TEKNIK?","JAYA ABADI TEKNIK memiliki status rekanan Rekanan Terdaftar."
