Pertanyaan,Jawaban
"Dimana lokasi Batara Surya Semesta?","Batara Surya Semesta berlokasi di Nusa Tenggara Timur."
"Apa industry key Batara Surya Semesta?","Batara Surya Semesta memiliki industry key: BBM / BAHAN BAKAR MINYAK, SUPPLIER."
"Cari vendor Batara Surya Semesta","Batara Surya Semesta adalah vendor dengan status Calon Rekanan Waskita Approved Level 1, di bidang Supplier Menengah, berlokasi di Nusa Tenggara Timur. Industry: BBM / BAHAN BAKAR MINYAK, SUPPLIER. Kode SBU: KK011."
"Berikan informasi lengkap tentang Batara Surya Semesta","Batara Surya Semesta adalah vendor dengan status Calon Rekanan Waskita Approved Level 1, di bidang Supplier Menengah, berlokasi di Nusa Tenggara Timur. Industry: BBM / BAHAN BAKAR MINYAK, SUPPLIER. Kode SBU: KK011."
"Siapa WASKITA KARYA INFRASTRUKTUR?","WASKITA KARYA INFRASTRUKTUR adalah vendor dengan status Unverified, di bidang Supplier Menengah, berlokasi di DKI Jakarta Jakarta. Kode SBU: BS002."
"Apa status rekanan WASKITA KARYA INFRASTRUKTUR?","WASKITA KARYA INFRASTRUKTUR memiliki status rekanan Unverified."
"Apa bidang usaha WASKITA KARYA INFRASTRUKTUR?","WASKITA KARYA INFRASTRUKTUR bergerak di bidang Supplier Menengah."
"Dimana lokasi WASKITA KARYA INFRASTRUKTUR?","WASKITA KARYA INFRASTRUKTUR berlokasi di DKI Jakarta Jakarta."
"Cari vendor WASKITA KARYA INFRASTRUKTUR","WASKITA KARYA INFRASTRUKTUR adalah vendor dengan status Unverified, di bidang Supplier Menengah, berlokasi di DKI Jakarta Jakarta. Kode SBU: BS002."
"Berikan informasi lengkap tentang WASKITA KARYA INFRASTRUKTUR","WASKITA KARYA INFRASTRUKTUR adalah vendor dengan status Unverified, di bidang Supplier Menengah, berlokasi di DKI Jakarta Jakarta. Kode SBU: BS002."
"Siapa MAKMUR TOTAL SEJAHTERA?","MAKMUR TOTAL SEJAHTERA adalah vendor dengan status Rekanan Terdaftar, di bidang Supplier, berlokasi di Jawa Timur East Java. Status CQSMS: Supplier : 75 Medium Risk (Version 1). Industry: PRECAST SALURAN , KANSTIN , BARRIER & KOLOM PRAKTIS, SUPPLIER. Kode SBU: PL003."
"Apa status rekanan MAKMUR TOTAL SEJAHTERA?","MAKMUR TOTAL SEJAHTERA memiliki status rekanan Rekanan Terdaftar."
"Apa bidang usaha MAKMUR TOTAL SEJAHTERA?","MAKMUR TOTAL SEJAHTERA bergerak di bidang Supplier."
"Dimana lokasi MAKMUR TOTAL SEJAHTERA?","MAKMUR TOTAL SEJAHTERA berlokasi di Jawa Timur East Java."
"Apa status CQSMS MAKMUR TOTAL SEJAHTERA?","MAKMUR TOTAL SEJAHTERA memiliki status CQSMS: Supplier : 75 Medium Risk (Version 1)."
"Apa industry key MAKMUR TOTAL SEJAHTERA?","MAKMUR TOTAL SEJAHTERA memiliki industry key: PRECAST SALURAN , KANSTIN , BARRIER & KOLOM PRAKTIS, SUPPLIER."
"Cari vendor MAKMUR TOTAL SEJAHTERA","MAKMUR TOTAL SEJAHTERA adalah vendor dengan status Rekanan Terdaftar, di bidang Supplier, berlokasi di Jawa Timur East Java. Status CQSMS: Supplier : 75 Medium Risk (Version 1). Industry: PRECAST SALURAN , KANSTIN , BARRIER & KOLOM PRAKTIS, SUPPLIER. Kode SBU: PL003."
"Berikan informasi lengkap tentang MAKMUR TOTAL SEJAHTERA","MAKMUR TOTAL SEJAHTERA adalah vendor dengan status Rekanan Terdaftar, di bidang Supplier, berlokasi di Jawa Timur East Java. Status CQSMS: Supplier : 75 Medium Risk (Version 1). Industry: PRECAST SALURAN , KANSTIN , BARRIER & KOLOM PRAKTIS, SUPPLIER. Kode SBU: PL003."
"Siapa Surveyor Indonesia?","Surveyor Indonesia adalah vendor dengan status Calon Rekanan Waskita Approved Level 1, di bidang Supplier Menengah, berlokasi di Sulawesi Selatan Sou. Kode SBU: RK001."
"Apa status rekanan Surveyor Indonesia?","Surveyor Indonesia memiliki status rekanan Calon Rekanan Waskita Approved Level 1."
"Apa bidang usaha Surveyor Indonesia?","Surveyor Indonesia bergerak di bidang Supplier Menengah."
"Dimana lokasi Surveyor Indonesia?","Surveyor Indonesia berlokasi di Sulawesi Selatan Sou."
"Cari vendor Surveyor Indonesia","Surveyor Indonesia adalah vendor dengan status Calon Rekanan Waskita Approved Level 1, di bidang Supplier Menengah, berlokasi di Sulawesi Selatan Sou. Kode SBU: RK001."
"Berikan informasi lengkap tentang Surveyor Indonesia","Surveyor Indonesia adalah vendor dengan status Calon Rekanan Waskita Approved Level 1, di bidang Supplier Menengah, berlokasi di Sulawesi Selatan Sou. Kode SBU: RK001."
"Siapa Selaras lawang Sewu?","Selaras lawang Sewu adalah vendor dengan status Calon Rekanan Waskita Approved Level 1, di bidang Sub Kontraktor Kecil dan Menengah,, berlokasi di Jawa Barat West Java. Industry: BATU BRONJONG / GABION, SUPPLIER ;. Kode SBU: BG002."
"Apa status rekanan Selaras lawang Sewu?","Selaras lawang Sewu memiliki status rekanan Calon Rekanan Waskita Approved Level 1."
"Apa bidang usaha Selaras lawang Sewu?","Selaras lawang Sewu bergerak di bidang Sub Kontraktor Kecil dan Menengah,."
"Dimana lokasi Selaras lawang Sewu?","Selaras lawang Sewu berlokasi di Jawa Barat West Java."
"Apa industry key Selaras lawang Sewu?","Selaras lawang Sewu memiliki industry key: BATU BRONJONG / GABION, SUPPLIER ;."
"Cari vendor Selaras lawang Sewu","Selaras lawang Sewu adalah vendor dengan status Calon Rekanan Waskita Approved Level 1, di bidang Sub Kontraktor Kecil dan Menengah,, berlokasi di Jawa Barat West Java. Industry: BATU BRONJONG / GABION, SUPPLIER ;. Kode SBU: BG002."
"Berikan informasi lengkap tentang Selaras lawang Sewu","Selaras lawang Sewu adalah vendor dengan status Calon Rekanan Waskita Approved Level 1, di bidang Sub Kontraktor Kecil dan Menengah,, berlokasi di Jawa Barat West Java. Industry: BATU BRONJONG / GABION, SUPPLIER ;. Kode SBU: BG002."
"Siapa BANGUN SARANA BAJA?","BANGUN SARANA BAJA adalah vendor dengan status Unverified, di bidang Sub Kontraktor Kecil dan Menengah, berlokasi di DI Aceh Aceh. Industry: ALAT & MATERIAL BANTU PROYEK, SUPPLIER. Kode SBU: BG003."
"Apa status rekanan BANGUN SARANA BAJA?","BANGUN SARANA BAJA memiliki status rekanan Unverified."
"Apa bidang usaha BANGUN SARANA BAJA?","BANGUN SARANA BAJA bergerak di bidang Sub Kontraktor Kecil dan Menengah."
"Dimana lokasi BANGUN SARANA BAJA?","BANGUN SARANA BAJA berlokasi di DI Aceh Aceh."
"Apa industry key BANGUN SARANA BAJA?","BANGUN SARANA BAJA memiliki industry key: ALAT & MATERIAL BANTU PROYEK, SUPPLIER."
"Cari vendor BANGUN SARANA BAJA","BANGUN SARANA BAJA adalah vendor dengan status Unverified, di bidang Sub Kontraktor Kecil dan Menengah, berlokasi di DI Aceh Aceh. Industry: ALAT & MATERIAL BANTU PROYEK, SUPPLIER. Kode SBU: BG003."
"Berikan informasi lengkap tentang BANGUN SARANA BAJA","BANGUN SARANA BAJA adalah vendor dengan status Unverified, di bidang Sub Kontraktor Kecil dan Menengah, berlokasi di DI Aceh Aceh. Industry: ALAT & MATERIAL BANTU PROYEK, SUPPLIER. Kode SBU: BG003."
"Siapa ADITYA KARYA SENTOSA?","ADITYA KARYA SENTOSA adalah vendor dengan status Unverified, di bidang Sub Kontraktor, berlokasi di Sumatera Utara North. Kode SBU: BS002."
"Apa status rekanan ADITYA KARYA SENTOSA?","ADITYA KARYA SENTOSA memiliki status rekanan Unverified."
"Apa bidang usaha ADITYA KARYA SENTOSA?","ADITYA KARYA SENTOSA bergerak di bidang Sub Kontraktor."
"Dimana lokasi ADITYA KARYA SENTOSA?","ADITYA KARYA SENTOSA berlokasi di Sumatera Utara North."
"Cari vendor ADITYA KARYA SENTOSA","ADITYA KARYA SENTOSA adalah vendor dengan status Unverified, di bidang Sub Kontraktor, berlokasi di Sumatera Utara North. Kode SBU: BS002."
"Berikan informasi lengkap tentang ADITYA KARYA SENTOSA","ADITYA KARYA SENTOSA adalah vendor dengan status Unverified, di bidang Sub Kontraktor, berlokasi di Sumatera Utara North. Kode SBU: BS002."
"Siapa Beton Elemenindo Perkasa?","Beton Elemenindo Perkasa adalah vendor dengan status Registered, di bidang Supplier Menengah, berlokasi di DKI Jakarta Jakarta. Kode SBU: KK001."
"Apa status rekanan Beton Elemenindo Perkasa?","Beton Elemenindo Perkasa memiliki status rekanan Registered."
"Apa bidang usaha Beton Elemenindo Perkasa?","Beton Elemenindo Perkasa bergerak di bidang Supplier Menengah."
"Dimana lokasi Beton Elemenindo Perkasa?","Beton Elemenindo Perkasa berlokasi di DKI Jakarta Jakarta."
"Cari vendor Beton Elemenindo Perkasa","Beton Elemenindo Perkasa adalah vendor dengan status Registered, di bidang Supplier Menengah, berlokasi di DKI Jakarta Jakarta. Kode SBU: KK001."
"Berikan informasi lengkap tentang Beton Elemenindo Perkasa","Beton Elemenindo Perkasa adalah vendor dengan status Registered, di bidang Supplier Menengah, berlokasi di DKI Jakarta Jakarta. Kode SBU: KK001."
"Siapa CV. KARYA PERSADA?","CV. KARYA PERSADA adalah vendor dengan status Registered, di bidang Konsultan Konstruksi, berlokasi di Sumatera Utara North. Kode SBU: BG002."
"Apa status rekanan CV. KARYA PERSADA?","CV. KARYA PERSADA memiliki status rekanan Registered."
"Apa bidang usaha CV. KARYA PERSADA?","CV. KARYA PERSADA bergerak di bidang Konsultan Konstruksi."
"Dimana lokasi CV. KARYA PERSADA?","CV. KARYA PERSADA berlokasi di Sumatera Utara North."
"Cari vendor CV. KARYA PERSADA","CV. KARYA PERSADA adalah vendor dengan status Registered, di bidang Konsultan Konstruksi, berlokasi di Sumatera Utara North. Kode SBU: BG002."
"Berikan informasi lengkap tentang CV. KARYA PERSADA","CV. KARYA PERSADA adalah vendor dengan status Registered, di bidang Konsultan Konstruksi, berlokasi di Sumatera Utara North. Kode SBU: BG002."
"Siapa SEKAWAN BAYU PERKASA?","SEKAWAN BAYU PERKASA adalah vendor dengan status Rekanan Terdaftar, di bidang Sewa Alat, berlokasi di DKI Jakarta Jakarta. Status CQSMS: Sewa Alat : 98 High Risk (Version 3). Industry: EXCAVATOR & EXCAVATOR LONG ARM, SEWA. Kode SBU: PL004."
"Apa status rekanan SEKAWAN BAYU PERKASA?","SEKAWAN BAYU PERKASA memiliki status rekanan Rekanan Terdaftar."
"Apa bidang usaha SEKAWAN BAYU PERKASA?","SEKAWAN BAYU PERKASA bergerak di bidang Sewa Alat."
"Dimana lokasi SEKAWAN BAYU PERKASA?","SEKAWAN BAYU PERKASA berlokasi di DKI Jakarta Jakarta."
"Apa status CQSMS SEKAWAN BAYU PERKASA?","SEKAWAN BAYU PERKASA memiliki status CQSMS: Sewa Alat : 98 High Risk (Version 3)."
"Apa industry key SEKAWAN BAYU PERKASA?","SEKAWAN BAYU PERKASA memiliki industry key: EXCAVATOR & EXCAVATOR LONG ARM, SEWA."
"Cari vendor SEKAWAN BAYU PERKASA","SEKAWAN BAYU PERKASA adalah vendor dengan status Rekanan Terdaftar, di bidang Sewa Alat, berlokasi di DKI Jakarta Jakarta. Status CQSMS: Sewa Alat : 98 High Risk (Version 3). Industry: EXCAVATOR & EXCAVATOR LONG ARM, SEWA. Kode SBU: PL004."
"Berikan informasi lengkap tentang SEKAWAN BAYU PERKASA","SEKAWAN BAYU PERKASA adalah vendor dengan status Rekanan Terdaftar, di bidang Sewa Alat, berlokasi di DKI Jakarta Jakarta. Status CQSMS: Sewa Alat : 98 High Risk (Version 3). Industry: EXCAVATOR & EXCAVATOR LONG ARM, SEWA. Kode SBU: PL004."
"Siapa PADIMAS GRAHA SEJAHTERA?","PADIMAS GRAHA SEJAHTERA adalah vendor dengan status Unverified, di bidang Sub Kontraktor, berlokasi di Jawa Tengah Central. Kode SBU: BG009."
"Apa status rekanan PADIMAS GRAHA SEJAHTERA?","PADIMAS GRAHA SEJAHTERA memiliki status rekanan Unverified."
"Apa bidang usaha PADIMAS GRAHA SEJAHTERA?","PADIMAS GRAHA SEJAHTERA bergerak di bidang Sub Kontraktor."
"Dimana lokasi PADIMAS GRAHA SEJAHTERA?","PADIMAS GRAHA SEJAHTERA berlokasi di Jawa Tengah Central."
"Cari vendor PADIMAS GRAHA SEJAHTERA","PADIMAS GRAHA SEJAHTERA adalah vendor dengan status Unverified, di bidang Sub Kontraktor, berlokasi di Jawa Tengah Central. Kode SBU: BG009."
"Berikan informasi lengkap tentang PADIMAS GRAHA SEJAHTERA","PADIMAS GRAHA SEJAHTERA adalah vendor dengan status Unverified, di bidang Sub Kontraktor, berlokasi di Jawa Tengah Central. Kode SBU: BG009."
"Siapa TIRTA MARTA WIRATAMA?","TIRTA MARTA WIRATAMA adalah vendor dengan status Registered, di bidang Supplier Menengah,, berlokasi di Jawa Barat West Java. Kode SBU: IN008."
"Apa status rekanan TIRTA MARTA WIRATAMA?","TIRTA MARTA WIRATAMA memiliki status rekanan Registered."
"Apa bidang usaha TIRTA MARTA WIRATAMA?","TIRTA MARTA WIRATAMA bergerak di bidang Supplier Menengah,."
"Dimana lokasi TIRTA MARTA WIRATAMA?","TIRTA MARTA WIRATAMA berlokasi di Jawa Barat West Java."
"Cari vendor TIRTA MARTA WIRATAMA","TIRTA MARTA WIRATAMA adalah vendor dengan status Registered, di bidang Supplier Menengah,, berlokasi di Jawa Barat West Java. Kode SBU: IN008."
"Berikan informasi lengkap tentang TIRTA MARTA WIRATAMA","TIRTA MARTA WIRATAMA adalah vendor dengan status Registered, di bidang Supplier Menengah,, berlokasi di Jawa Barat West Java. Kode SBU: IN008."
"Siapa JAYA ABADI TEKNIK?","JAYA ABADI TEKNIK adalah vendor dengan status Rekanan Terseleksi Waskita, di bidang Sewa Alat, berlokasi di DKI Jakarta Jakarta. Status CQSMS: Sewa Alat : 48 Medium Risk (Version 3). Industry: CRAWLER CRANE, SEWA ;. Kode SBU: BS001."
"Apa status rekanan JAYA ABADI TEKNIK?","JAYA ABADI TEKNIK memiliki status rekanan Rekanan Terseleksi Waskita."
"Apa bidang usaha JAYA ABADI TEKNIK?","JAYA ABADI TEKNIK bergerak di bidang Sewa Alat."
"Dimana lokasi JAYA ABADI TEKNIK?","JAYA ABADI TEKNIK berlokasi di DKI Jakarta Jakarta."
"Apa status CQSMS JAYA ABADI TEKNIK?","JAYA ABADI TEKNIK memiliki status CQSMS: Sewa Alat : 48 Medium Risk (Version 3)."
"Apa industry key JAYA ABADI TEKNIK?","JAYA ABADI TEKNIK memiliki industry key: CRAWLER CRANE, SEWA ;."
"Cari vendor JAYA ABADI TEKNIK","JAYA ABADI TEKNIK adalah vendor dengan status Rekanan Terseleksi Waskita, di bidang Sewa Alat, berlokasi di DKI Jakarta Jakarta. Status CQSMS: Sewa Alat : 48 Medium Risk (Version 3). Industry: CRAWLER CRANE, SEWA ;. Kode SBU: BS001."
"Berikan informasi lengkap tentang JAYA ABADI TEKNIK","JAYA ABADI TEKNIK adalah vendor dengan status Rekanan Terseleksi Waskita, di bidang Sewa Alat, berlokasi di DKI Jakarta Jakarta. Status CQSMS: Sewa Alat : 48 Medium Risk (Version 3). Industry: CRAWLER CRANE, SEWA ;. Kode SBU: BS001."
"Siapa LUBANA ALFATH SENTOSA?","LUBANA ALFATH SENTOSA adalah vendor dengan status Rekanan Terdaftar, di bidang Supplier Menengah, berlokasi di Sumatera Selatan Sou. Status CQSMS: Supplier : 70 Medium Risk (Version 1). Industry: ALAT & MATERIAL BANTU PROYEK, SUPPLIER. Kode SBU: BG002."
"Apa status rekanan LUBANA ALFATH SENTOSA?","LUBANA ALFATH SENTOSA memiliki status rekanan Rekanan Terdaftar."
"Apa bidang usaha LUBANA ALFATH SENTOSA?","LUBANA ALFATH SENTOSA bergerak di bidang Supplier Menengah."
"Dimana lokasi LUBANA ALFATH SENTOSA?","LUBANA ALFATH SENTOSA berlokasi di Sumatera Selatan Sou."
"Apa status CQSMS LUBANA ALFATH SENTOSA?","LUBANA ALFATH SENTOSA memiliki status CQSMS: Supplier : 70 Medium Risk (Version 1)."
"Apa industry key LUBANA ALFATH SENTOSA?","LUBANA ALFATH SENTOSA memiliki industry key: ALAT & MATERIAL BANTU PROYEK, SUPPLIER."
"Cari vendor LUBANA ALFATH SENTOSA","LUBANA ALFATH SENTOSA adalah vendor dengan status Rekanan Terdaftar, di bidang Supplier Menengah, berlokasi di Sumatera Selatan Sou. Status CQSMS: Supplier : 70 Medium Risk (Version 1). Industry: ALAT & MATERIAL BANTU PROYEK, SUPPLIER. Kode SBU: BG002."
"Berikan informasi lengkap tentang LUBANA ALFATH SENTOSA","LUBANA ALFATH SENTOSA adalah vendor dengan status Rekanan Terdaftar, di bidang Supplier Menengah, berlokasi di Sumatera Selatan Sou. Status CQSMS: Supplier : 70 Medium Risk (Version 1). Industry: ALAT & MATERIAL BANTU PROYEK, SUPPLIER. Kode SBU: BG002."
"Siapa LITERRA LOKA TRIJAYA?","LITERRA LOKA TRIJAYA adalah vendor dengan status Rekanan Terdaftar, di bidang Supplier Menengah, berlokasi di Jawa Tengah Central. Status CQSMS: Supplier : 59 Medium Risk (Version 3). Industry: AGREGAT & BATU PECAH / BELAH, SUPPLIER ;. Kode SBU: PL003."
"Apa status rekanan LITERRA LOKA TRIJAYA?","LITERRA LOKA TRIJAYA memiliki status rekanan Rekanan Terdaftar."
"Apa bidang usaha LITERRA LOKA TRIJAYA?","LITERRA LOKA TRIJAYA bergerak di bidang Supplier Menengah."
"Dimana lokasi LITERRA LOKA TRIJAYA?","LITERRA LOKA TRIJAYA berlokasi di Jawa Tengah Central."
"Apa status CQSMS LITERRA LOKA TRIJAYA?","LITERRA LOKA TRIJAYA memiliki status CQSMS: Supplier : 59 Medium Risk (Version 3)."
"Apa industry key LITERRA LOKA TRIJAYA?","LITERRA LOKA TRIJAYA memiliki industry key: AGREGAT & BATU PECAH / BELAH, SUPPLIER ;."
"Cari vendor LITERRA LOKA TRIJAYA","LITERRA LOKA TRIJAYA adalah vendor dengan status Rekanan Terdaftar, di bidang Supplier Menengah, berlokasi di Jawa Tengah Central. Status CQSMS: Supplier : 59 Medium Risk (Version 3). Industry: AGREGAT & BATU PECAH / BELAH, SUPPLIER ;. Kode SBU: PL003."
"Berikan informasi lengkap tentang LITERRA LOKA TRIJAYA","LITERRA LOKA TRIJAYA adalah vendor dengan status Rekanan Terdaftar, di bidang Supplier Menengah, berlokasi di Jawa Tengah Central. Status CQSMS: Supplier : 59 Medium Risk (Version 3). Industry: AGREGAT & BATU PECAH / BELAH, SUPPLIER ;. Kode SBU: PL003."
"Siapa Dwi Jaya Niaga?","Dwi Jaya Niaga adalah vendor dengan status Registered, berlokasi di DI Aceh Aceh. Kode SBU: PL003."
"Apa status rekanan Dwi Jaya Niaga?","Dwi Jaya Niaga memiliki status rekanan Registered."
"Dimana lokasi Dwi Jaya Niaga?","Dwi Jaya Niaga berlokasi di DI Aceh Aceh."
"Cari vendor Dwi Jaya Niaga","Dwi Jaya Niaga adalah vendor dengan status Registered, berlokasi di DI Aceh Aceh. Kode SBU: PL003."
"Berikan informasi lengkap tentang Dwi Jaya Niaga","Dwi Jaya Niaga adalah vendor dengan status Registered, berlokasi di DI Aceh Aceh. Kode SBU: PL003."
"Siapa BELLA JAYA LESTARI?","BELLA JAYA LESTARI adalah vendor dengan status Rekanan Terdaftar, di bidang Supplier Menengah, berlokasi di DKI Jakarta Jakarta. Status CQSMS: Supplier : 45 Low Risk (Version 3). Industry: POMPA AIR BERSIH & AIR KOTOR, SUPPLIER ;. Kode SBU: BG009."
"Apa status rekanan BELLA JAYA LESTARI?","BELLA JAYA LESTARI memiliki status rekanan Rekanan Terdaftar."
"Apa bidang usaha BELLA JAYA LESTARI?","BELLA JAYA LESTARI bergerak di bidang Supplier Menengah."
"Dimana lokasi BELLA JAYA LESTARI?","BELLA JAYA LESTARI berlokasi di DKI Jakarta Jakarta."
"Apa status CQSMS BELLA JAYA LESTARI?","BELLA JAYA LESTARI memiliki status CQSMS: Supplier : 45 Low Risk (Version 3)."
"Apa industry key BELLA JAYA LESTARI?","BELLA JAYA LESTARI memiliki industry key: POMPA AIR BERSIH & AIR KOTOR, SUPPLIER ;."
"Cari vendor BELLA JAYA LESTARI","BELLA JAYA LESTARI adalah vendor dengan status Rekanan Terdaftar, di bidang Supplier Menengah, berlokasi di DKI Jakarta Jakarta. Status CQSMS: Supplier : 45 Low Risk (Version 3). Industry: POMPA AIR BERSIH & AIR KOTOR, SUPPLIER ;. Kode SBU: BG009."
"Berikan informasi lengkap tentang BELLA JAYA LESTARI","BELLA JAYA LESTARI adalah vendor dengan status Rekanan Terdaftar, di bidang Supplier Menengah, berlokasi di DKI Jakarta Jakarta. Status CQSMS: Supplier : 45 Low Risk (Version 3). Industry: POMPA AIR BERSIH & AIR KOTOR, SUPPLIER ;. Kode SBU: BG009."
"Siapa FARMEL CIPTA MANDIRI?","FARMEL CIPTA MANDIRI adalah vendor dengan status Registered, di bidang Supplier Menengah, berlokasi di Jawa Barat West Java. Kode SBU: BS005."
"Apa status rekanan FARMEL CIPTA MANDIRI?","FARMEL CIPTA MANDIRI memiliki status rekanan Registered."
"Apa bidang usaha FARMEL CIPTA MANDIRI?","FARMEL CIPTA MANDIRI bergerak di bidang Supplier Menengah."
"Dimana lokasi FARMEL CIPTA MANDIRI?","FARMEL CIPTA MANDIRI berlokasi di Jawa Barat West Java."
"Cari vendor FARMEL CIPTA MANDIRI","FARMEL CIPTA MANDIRI adalah vendor dengan status Registered, di bidang Supplier Menengah, berlokasi di Jawa Barat West Java. Kode SBU: BS005."
"Berikan informasi lengkap tentang FARMEL CIPTA MANDIRI","FARMEL CIPTA MANDIRI adalah vendor dengan status Registered, di bidang Supplier Menengah, berlokasi di Jawa Barat West Java. Kode SBU: BS005."
"Siapa VARIA USAHA BETON?","VARIA USAHA BETON adalah vendor dengan status Unverified, di bidang Supplier Menengah, berlokasi di Sulawesi Selatan Sou. Kode SBU: KK012."
"Apa status rekanan VARIA USAHA BETON?","VARIA USAHA BETON memiliki status rekanan Unverified."
"Apa bidang usaha VARIA USAHA BETON?","VARIA USAHA BETON bergerak di bidang Supplier Menengah."
"Dimana lokasi VARIA USAHA BETON?","VARIA USAHA BETON berlokasi di Sulawesi Selatan Sou."
"Cari vendor VARIA USAHA BETON","VARIA USAHA BETON adalah vendor dengan status Unverified, di bidang Supplier Menengah, berlokasi di Sulawesi Selatan Sou. Kode SBU: KK012."
"Berikan informasi lengkap tentang VARIA USAHA BETON","VARIA USAHA BETON adalah vendor dengan status Unverified, di bidang Supplier Menengah, berlokasi di Sulawesi Selatan Sou. Kode SBU: KK012."
"Siapa BERKAH JAYA GLOBALINDO?","BERKAH JAYA GLOBALINDO adalah vendor dengan status Rekanan Terdaftar, di bidang Supplier Menengah,, berlokasi di Jawa Tengah Central. Status CQSMS: Sub Kontraktor : 62 High Risk (Version 3). Industry: ALAT & MATERIAL BANTU PROYEK, SUPPLIER ;. Kode SBU: BS004."
"Apa status rekanan BERKAH JAYA GLOBALINDO?","BERKAH JAYA GLOBALINDO memiliki status rekanan Rekanan Terdaftar."
"Apa bidang usaha BERKAH JAYA GLOBALINDO?","BERKAH JAYA GLOBALINDO bergerak di bidang Supplier Menengah,."
"Dimana lokasi BERKAH JAYA GLOBALINDO?","BERKAH JAYA GLOBALINDO berlokasi di Jawa Tengah Central."
"Apa status CQSMS BERKAH JAYA GLOBALINDO?","BERKAH JAYA GLOBALINDO memiliki status CQSMS: Sub Kontraktor : 62 High Risk (Version 3)."
"Apa industry key BERKAH JAYA GLOBALINDO?","BERKAH JAYA GLOBALINDO memiliki industry key: ALAT & MATERIAL BANTU PROYEK, SUPPLIER ;."
"Cari vendor BERKAH JAYA GLOBALINDO","BERKAH JAYA GLOBALINDO adalah vendor dengan status Rekanan Terdaftar, di bidang Supplier Menengah,, berlokasi di Jawa Tengah Central. Status CQSMS: Sub Kontraktor : 62 High Risk (Version 3). Industry: ALAT & MATERIAL BANTU PROYEK, SUPPLIER ;. Kode SBU: BS004."
"Berikan informasi lengkap tentang BERKAH JAYA GLOBALINDO","BERKAH JAYA GLOBALINDO adalah vendor dengan status Rekanan Terdaftar, di bidang Supplier Menengah,, berlokasi di Jawa Tengah Central. Status CQSMS: Sub Kontraktor : 62 High Risk (Version 3). Industry: ALAT & MATERIAL BANTU PROYEK, SUPPLIER ;. Kode SBU: BS004."
"Siapa INDO SINERGI KONSTRUKSI?","INDO SINERGI KONSTRUKSI adalah vendor dengan status Rekanan Terdaftar, di bidang Perusahaan Mikro dan Kecil (Supplier dan Non-Konstruksi), berlokasi di Nusa Tenggara Timur. Kode SBU: BG001."
"Apa status rekanan INDO SINERGI KONSTRUKSI?","INDO SINERGI KONSTRUKSI memiliki status rekanan Rekanan Terdaftar."
"Apa bidang usaha INDO SINERGI KONSTRUKSI?","INDO SINERGI KONSTRUKSI bergerak di bidang Perusahaan Mikro dan Kecil (Supplier dan Non-Konstruksi)."
"Dimana lokasi INDO SINERGI KONSTRUKSI?","INDO SINERGI KONSTRUKSI berlokasi di Nusa Tenggara Timur."
"Cari vendor INDO SINERGI KONSTRUKSI","INDO SINERGI KONSTRUKSI adalah vendor dengan status Rekanan Terdaftar, di bidang Perusahaan Mikro dan Kecil (Supplier dan Non-Konstruksi), berlokasi di Nusa Tenggara Timur. Kode SBU: BG001."
"Berikan informasi lengkap tentang INDO SINERGI KONSTRUKSI","INDO SINERGI KONSTRUKSI adalah vendor dengan status Rekanan Terdaftar, di bidang Perusahaan Mikro dan Kecil (Supplier dan Non-Konstruksi), berlokasi di Nusa Tenggara Timur. Kode SBU: BG001."
"Siapa BINTANG SELATAN AGUNG?","BINTANG SELATAN AGUNG adalah vendor dengan status Unverified, di bidang Supplier, berlokasi di DKI Jakarta Jakarta. Kode SBU: BS001."
"Apa status rekanan BINTANG SELATAN AGUNG?","BINTANG SELATAN AGUNG memiliki status rekanan Unverified."
"Apa bidang usaha BINTANG SELATAN AGUNG?","BINTANG SELATAN AGUNG bergerak di bidang Supplier."
"Dimana lokasi BINTANG SELATAN AGUNG?","BINTANG SELATAN AGUNG berlokasi di DKI Jakarta Jakarta."
"Cari vendor BINTANG SELATAN AGUNG","BINTANG SELATAN AGUNG adalah vendor dengan status Unverified, di bidang Supplier, berlokasi di DKI Jakarta Jakarta. Kode SBU: BS001."
"Berikan informasi lengkap tentang BINTANG SELATAN AGUNG","BINTANG SELATAN AGUNG adalah vendor dengan status Unverified, di bidang Supplier, berlokasi di DKI Jakarta Jakarta. Kode SBU: BS001."
"Siapa CV. TRIZ KREASINDO?","CV. TRIZ KREASINDO adalah vendor dengan status Registered, berlokasi di Ilirska Bistrica. Kode SBU: BS004."
"Apa status rekanan CV. TRIZ KREASINDO?","CV. TRIZ KREASINDO memiliki status rekanan Registered."
"Dimana lokasi CV. TRIZ KREASINDO?","CV. TRIZ KREASINDO berlokasi di Ilirska Bistrica."
"Cari vendor CV. TRIZ KREASINDO","CV. TRIZ KREASINDO adalah vendor dengan status Registered, berlokasi di Ilirska Bistrica. Kode SBU: BS004."
"Berikan informasi lengkap tentang CV. TRIZ KREASINDO","CV. TRIZ KREASINDO adalah vendor dengan status Registered, berlokasi di Ilirska Bistrica. Kode SBU: BS004."
"Siapa KALIRANDOE JAYA ABADI?","KALIRANDOE JAYA ABADI adalah vendor dengan status Unverified, di bidang Supplier Menengah, berlokasi di DKI Jakarta Jakarta. Industry: CARPET, SUBKON. Kode SBU: BS001."
"Apa status rekanan KALIRANDOE JAYA ABADI?","KALIRANDOE JAYA ABADI memiliki status rekanan Unverified."
